"Name","aug.run_delete_w_exclusions","aug.run_random_delete","aug.run_random_duplicate","aug.run_random_insert_conj","aug.run_tam_update","eval/loss (Max)","stage (Max)","test/BLEU (Max)","test/chrF (Max)","test/loss (Max)","test/model_preparation_time (Max)","test/runtime (Max)","test/samples_per_second (Max)","test/steps_per_second (Max)","test_BLEU (Max)","test_chrF (Max)","test_loss (Max)","test_model_preparation_time (Max)","test_runtime (Max)","test_samples_per_second (Max)","test_steps_per_second (Max)","train/loss (Max)","eval/loss (Min)","stage (Min)","test/BLEU (Min)","test/chrF (Min)","test/loss (Min)","test/model_preparation_time (Min)","test/runtime (Min)","test/samples_per_second (Min)","test/steps_per_second (Min)","test_BLEU (Min)","test_chrF (Min)","test_loss (Min)","test_model_preparation_time (Min)","test_runtime (Min)","test_samples_per_second (Min)","test_steps_per_second (Min)","train/loss (Min)","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","auto_find_batch_size","batch_eval_metrics","bf16","bf16_full_eval","chunk_size_feed_forward","classifier_dropout","d_ff","d_kv","d_model","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","decoder_start_token_id","dense_act_fn","direction","disable_tqdm","diversity_penalty","do_eval","do_predict","do_sample","do_train","dropout_rate","early_stopping","encoder_no_repeat_ngram_size","eos_token_id","epochs","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","feed_forward_proj","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","generation_max_length","gradient_accumulation_steps","gradient_checkpointing","group_by_length","half_precision_backend","hub_always_push","hub_private_repo","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","initializer_factor","is_decoder","is_encoder_decoder","is_gated_act","jit_mode_eval","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_norm_epsilon","learning_rate","length_column_name","length_penalty","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_length","max_steps","min_length","model/num_parameters","model_type","mp_parameters","no_cuda","no_repeat_ngram_size","num_beam_groups","num_beams","num_decoder_layers","num_heads","num_layers","num_return_sequences","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","output_scores","overwrite_output_dir","pad_token_id","past_index","per_device_eval_batch_size","per_device_train_batch_size","predict_with_generate","prediction_loss_only","push_to_hub","push_to_hub_token","random-seed","ray_scope","relative_attention_max_distance","relative_attention_num_buckets","remove_invalid_values","remove_unused_columns","repetition_penalty","report_to","reset_optimizer_between_stages","restore_callback_states_from_checkpoint","return_dict","return_dict_in_generate","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","seed","skip_memory_metrics","sortish_sampler","temperature","tf_legacy_loss","tie_encoder_decoder","tie_word_embeddings","tokenizer_class","top_k","top_p","torch_compile","torchscript","tpu_metrics_debug","training_schedule","training_size","transformers_version","typical_p","use_bfloat16","use_cache","use_cpu","use_ipex","use_legacy_prediction_loop","use_mps_device","vocab_size","warmup_ratio","warmup_steps","weight_decay","Commit","Created","Description","Runtime","GitHub","Group","End Time","Hostname","Job Type","ID","Notes","GPU Type","GPU Count","State","Sweep","Updated","User","eval/loss","stage","test/BLEU","test/chrF","test/loss","test/model_preparation_time","test/runtime","test/samples_per_second","test/steps_per_second","test_BLEU","test_chrF","test_loss","test_model_preparation_time","test_runtime","test_samples_per_second","test_steps_per_second","train/loss","Tags"
"blooming-morning-762","true","true","true","true","true","1.5331963857014974","1","11.639947584111097","37.256751421715265","0.6525171995162964","0.0047","69.6479","15.277","1.91","11.639947584111097","37.256751421715265","0.6525171995162964","0.0047","69.6479","15.277","1.91","4.243905544281006","0.6596124609311421","0","11.639947584111097","37.256751421715265","0.6525171995162964","0.0047","69.6479","15.277","1.91","11.639947584111097","37.256751421715265","0.6525171995162964","0.0047","69.6479","15.277","1.91","0.7269374370574951","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_16-02-21_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T22:45:12.000Z","","1131","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T23:04:03.000Z","bgpu-curc2.rc.int.colorado.edu","","aht71nau","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T23:04:03.000Z","","0.6596124609311421","1","11.639947584111097","37.256751421715265","0.6525171995162964","0.0047","69.6479","15.277","1.91","11.639947584111097","37.256751421715265","0.6525171995162964","0.0047","69.6479","15.277","1.91","0.7342870790097449",""
"bumbling-thunder-761","true","true","true","true","true","1.531629196802775","1","11.622927597377418","36.92115548863437","0.6632774472236633","0.0051","68.6589","15.497","1.937","11.622927597377418","36.92115548863437","0.6632774472236633","0.0051","68.6589","15.497","1.937","4.101256608963013","0.636502989133199","0","11.622927597377418","36.92115548863437","0.6632774472236633","0.0051","68.6589","15.497","1.937","11.622927597377418","36.92115548863437","0.6632774472236633","0.0051","68.6589","15.497","1.937","0.7050568461418152","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_15-43-22_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","1","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T22:26:10.000Z","","1130","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T22:45:00.000Z","bgpu-curc2.rc.int.colorado.edu","","e11xdb5a","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T22:45:00.000Z","","0.636502989133199","1","11.622927597377418","36.92115548863437","0.6632774472236633","0.0051","68.6589","15.497","1.937","11.622927597377418","36.92115548863437","0.6632774472236633","0.0051","68.6589","15.497","1.937","0.7446755684084363",""
"fine-pyramid-760","true","true","true","true","true","1.5040365298589071","1","11.523967649639191","37.758425221459795","0.6611053943634033","0.0046","66.2162","16.069","2.009","11.523967649639191","37.758425221459795","0.6611053943634033","0.0046","66.2162","16.069","2.009","4.2942795753479","0.6338657061258952","0","11.523967649639191","37.758425221459795","0.6611053943634033","0.0046","66.2162","16.069","2.009","11.523967649639191","37.758425221459795","0.6611053943634033","0.0046","66.2162","16.069","2.009","0.7290600836277008","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_15-24-24_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T22:07:12.000Z","","1127","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T22:25:59.000Z","bgpu-curc2.rc.int.colorado.edu","","yappfyuk","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T22:25:59.000Z","","0.6338657061258952","1","11.523967649639191","37.758425221459795","0.6611053943634033","0.0046","66.2162","16.069","2.009","11.523967649639191","37.758425221459795","0.6611053943634033","0.0046","66.2162","16.069","2.009","0.7404249517454041",""
"laced-glade-759","true","true","true","true","true","1.5182945648829145","1","12.399885112871866","37.60440788444486","0.6841239333152771","0.0047","64.2989","16.548","2.068","12.399885112871866","37.60440788444486","0.6841239333152771","0.0047","64.2989","16.548","2.068","4.273273944854736","0.68777943054835","0","12.399885112871866","37.60440788444486","0.6841239333152771","0.0047","64.2989","16.548","2.068","12.399885112871866","37.60440788444486","0.6841239333152771","0.0047","64.2989","16.548","2.068","0.672533952106129","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_15-05-30_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T21:50:51.000Z","","969","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T22:07:00.000Z","bgpu-curc2.rc.int.colorado.edu","","46wp5l8x","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T22:07:00.000Z","","0.68777943054835","1","12.399885112871866","37.60440788444486","0.6841239333152771","0.0047","64.2989","16.548","2.068","12.399885112871866","37.60440788444486","0.6841239333152771","0.0047","64.2989","16.548","2.068","0.6740801397122835",""
"swift-shadow-758","true","true","true","true","true","1.5491679350535077","1","11.779438815792874","37.5708253483026","0.6819932460784912","0.0047","66.2168","16.068","2.009","11.779438815792874","37.5708253483026","0.6819932460784912","0.0047","66.2168","16.068","2.009","4.31914758682251","0.6598753849665324","0","11.779438815792874","37.5708253483026","0.6819932460784912","0.0047","66.2168","16.068","2.009","11.779438815792874","37.5708253483026","0.6819932460784912","0.0047","66.2168","16.068","2.009","0.5991533398628235","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_14-48-53_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","1","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T21:34:28.000Z","","966","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T21:50:34.000Z","bgpu-curc2.rc.int.colorado.edu","","hf9yf2qa","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T21:50:34.000Z","","0.6598753849665324","1","11.779438815792874","37.5708253483026","0.6819932460784912","0.0047","66.2168","16.068","2.009","11.779438815792874","37.5708253483026","0.6819932460784912","0.0047","66.2168","16.068","2.009","0.6714123686154684",""
"atomic-wind-757","true","true","true","true","true","1.4572158177693686","1","12.702543916617849","37.79677529670836","0.6719150543212891","0.0046","70.3089","15.133","1.892","12.702543916617849","37.79677529670836","0.6719150543212891","0.0046","70.3089","15.133","1.892","4.219723701477051","0.6519284605979919","0","12.702543916617849","37.79677529670836","0.6719150543212891","0.0046","70.3089","15.133","1.892","12.702543916617849","37.79677529670836","0.6719150543212891","0.0046","70.3089","15.133","1.892","0.6753582628268116","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_14-32-36_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T21:17:26.000Z","","1010","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T21:34:16.000Z","bgpu-curc2.rc.int.colorado.edu","","cw1jvm5m","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T21:34:16.000Z","","0.6519284605979919","1","12.702543916617849","37.79677529670836","0.6719150543212891","0.0046","70.3089","15.133","1.892","12.702543916617849","37.79677529670836","0.6719150543212891","0.0046","70.3089","15.133","1.892","0.6761827364302518",""
"vocal-tree-756","true","true","true","true","true","1.316645097732544","1","9.290396791045746","32.28152710277305","1.258694052696228","0.0046","66.5941","15.977","1.997","9.290396791045746","32.28152710277305","1.258694052696228","0.0046","66.5941","15.977","1.997","4.2992119789123535","0.9584145824114482","0","9.290396791045746","32.28152710277305","1.258694052696228","0.0046","66.5941","15.977","1.997","9.290396791045746","32.28152710277305","1.258694052696228","0.0046","66.5941","15.977","1.997","0.3036462850868702","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_14-15-42_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","1000","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T21:03:19.000Z","","835","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T21:17:14.000Z","bgpu-curc2.rc.int.colorado.edu","","teufcul3","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T21:17:14.000Z","","1.2710915168126424","1","9.290396791045746","32.28152710277305","1.258694052696228","0.0046","66.5941","15.977","1.997","9.290396791045746","32.28152710277305","1.258694052696228","0.0046","66.5941","15.977","1.997","0.3340816795825958",""
"fearless-star-755","true","true","true","true","true","1.289166792233785","1","8.520798625757408","33.128400598599086","1.2551790475845337","0.0045","71.373","14.908","1.863","8.520798625757408","33.128400598599086","1.2551790475845337","0.0045","71.373","14.908","1.863","4.406643390655518","0.9311919768651328","0","8.520798625757408","33.128400598599086","1.2551790475845337","0.0045","71.373","14.908","1.863","8.520798625757408","33.128400598599086","1.2551790475845337","0.0045","71.373","14.908","1.863","0.24579739570617676","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_14-01-29_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","1","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","1000","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T20:49:15.000Z","","833","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T21:03:08.000Z","bgpu-curc2.rc.int.colorado.edu","","qx7r4mw5","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T21:03:08.000Z","","1.2108548204104106","1","8.520798625757408","33.128400598599086","1.2551790475845337","0.0045","71.373","14.908","1.863","8.520798625757408","33.128400598599086","1.2551790475845337","0.0045","71.373","14.908","1.863","0.31003306593213764",""
"genial-lake-754","true","true","true","true","true","1.3054461479187012","1","8.7980444680887","32.744243398690735","1.1784560680389404","0.0044","69.0198","15.416","1.927","8.7980444680887","32.744243398690735","1.1784560680389404","0.0044","69.0198","15.416","1.927","4.160417079925537","0.9015034079551696","0","8.7980444680887","32.744243398690735","1.1784560680389404","0.0044","69.0198","15.416","1.927","8.7980444680887","32.744243398690735","1.1784560680389404","0.0044","69.0198","15.416","1.927","0.3144879639148712","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_13-47-22_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","1000","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T20:35:02.000Z","","836","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T20:48:58.000Z","bgpu-curc2.rc.int.colorado.edu","","uraqvgik","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T20:48:58.000Z","","1.0949862798055012","1","8.7980444680887","32.744243398690735","1.1784560680389404","0.0044","69.0198","15.416","1.927","8.7980444680887","32.744243398690735","1.1784560680389404","0.0044","69.0198","15.416","1.927","0.3635210863181523",""
"fearless-vortex-753","true","true","true","true","true","2.2051743507385253","1","8.21631843138008","29.514107995387157","2.142226219177246","0.0046","65.3485","16.282","2.035","8.21631843138008","29.514107995387157","2.142226219177246","0.0046","65.3485","16.282","2.035","4.1571125984191895","1.0911836783091229","0","8.21631843138008","29.514107995387157","2.142226219177246","0.0046","65.3485","16.282","2.035","8.21631843138008","29.514107995387157","2.142226219177246","0.0046","65.3485","16.282","2.035","0.09555247891694307","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","usp->esp","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","/scratch/alpine/migi8081/augmorph/runs/Nov14_13-33-19_bgpu-curc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","/scratch/alpine/migi8081/augmorph/","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""comet_ml"",""neptune"",""wandb""]","true","false","true","false","/scratch/alpine/migi8081/augmorph/","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","500","4.44.2","1","false","true","false","false","false","false","384","0","0","0","93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","2024-11-14T20:20:35.000Z","","856","https://github.com/lecs-lab/augmorph/tree/93fdb6d4599cbcb36cac203a4df40df6ebc08ff6","","2024-11-14T20:34:51.000Z","bgpu-curc2.rc.int.colorado.edu","","94sq5vpl","-","NVIDIA A100-PCIE-40GB","1","finished","","2024-11-14T20:34:51.000Z","","2.0876527547836305","1","8.21631843138008","29.514107995387157","2.142226219177246","0.0046","65.3485","16.282","2.035","8.21631843138008","29.514107995387157","2.142226219177246","0.0046","65.3485","16.282","2.035","0.106418676674366",""
