"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","aug_run_delete_w_exclusions","aug_run_insert_interjection","aug_run_random_delete","aug_run_random_duplicate","aug_run_random_insert_conj","aug_run_random_insert_noise","aug_run_sentence_permutations","aug_run_tam_update","auto_find_batch_size","batch_eval_metrics","bf16","bf16_full_eval","chunk_size_feed_forward","classifier_dropout","d_ff","d_kv","d_model","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","decoder_start_token_id","dense_act_fn","direction","disable_tqdm","diversity_penalty","do_eval","do_predict","do_sample","do_train","dropout_rate","early_stopping","encoder_no_repeat_ngram_size","eos_token_id","epochs","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","feed_forward_proj","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","generation_max_length","gradient_accumulation_steps","gradient_checkpointing","group_by_length","half_precision_backend","hub_always_push","hub_private_repo","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","initializer_factor","is_decoder","is_encoder_decoder","is_gated_act","jit_mode_eval","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_norm_epsilon","learning_rate","length_column_name","length_penalty","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr","lr_scheduler_type","max_grad_norm","max_length","max_steps","min_length","model/num_parameters","model_type","mp_parameters","no_cuda","no_repeat_ngram_size","num_beam_groups","num_beams","num_decoder_layers","num_heads","num_layers","num_return_sequences","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","output_scores","overwrite_output_dir","pad_token_id","past_index","per_device_eval_batch_size","per_device_train_batch_size","predict_with_generate","prediction_loss_only","push_to_hub","push_to_hub_token","random-seed","ray_scope","relative_attention_max_distance","relative_attention_num_buckets","remove_invalid_values","remove_unused_columns","repetition_penalty","report_to","reset_optimizer_between_stages","restore_callback_states_from_checkpoint","return_dict","return_dict_in_generate","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","seed","skip_memory_metrics","sortish_sampler","temperature","tf_legacy_loss","tie_encoder_decoder","tie_word_embeddings","tokenizer_class","top_k","top_p","torch_compile","torchscript","tpu_metrics_debug","training_schedule","training_size","transformers_version","typical_p","use_bfloat16","use_cache","use_cpu","use_ipex","use_legacy_prediction_loop","use_mps_device","vocab_size","warmup_ratio","warmup_steps","weight_decay","eval/BLEU","eval/chrF","eval/loss","eval/model_preparation_time","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval_BLEU","eval_chrF","eval_loss","eval_model_preparation_time","eval_runtime","eval_samples_per_second","eval_steps_per_second","stage","test/BLEU","test/chrF","test/loss","test/model_preparation_time","test/runtime","test/samples_per_second","test/steps_per_second","test_BLEU","test_chrF","test_loss","test_model_preparation_time","test_runtime","test_samples_per_second","test_steps_per_second","train/epoch","train/global_step","train/loss"
"daily-sky-1045","finished","-","","","2025-02-10T20:32:43.000Z","907","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","true","false","false","true","true","true","false","false","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb10_13-46-25_bgpu-curc4.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.43.3","1","false","true","false","false","false","false","384","0","0","0","7.61763586407513","40.98865156976406","1.043845295906067","0.0041","29.7236","16.115","2.019","7.61763586407513","40.98865156976406","1.043845295906067","0.0041","29.7236","16.115","2.019","1","10.875183702402516","41.3408644896238","1.1039400100708008","0.0041","54.9588","19.36","2.42","10.875183702402516","41.3408644896238","1.1039400100708008","0.0041","54.9588","19.36","2.42","4","0","0.5043111184818877"
"lively-cherry-55","finished","-","","","2025-02-06T11:21:16.000Z","1032","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","true","false","false","true","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb06_04-37-06_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.43.3","1","false","true","false","false","false","false","384","0","0","0","10.726034855423514","41.56641527665358","0.949463665485382","0.0039","26.6668","17.962","2.25","10.726034855423514","41.56641527665358","0.949463665485382","0.0039","26.6668","17.962","2.25","1","10.586906723930564","41.13361231000704","0.964853823184967","0.0039","54.8469","19.399","2.425","10.586906723930564","41.13361231000704","0.964853823184967","0.0039","54.8469","19.399","2.425","7","0","0.8651695586087411"
"swift-planet-576","finished","-","","","2025-02-09T07:26:49.000Z","897","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","true","true","true","false","false","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb09_00-40-30_bgpu-curc4.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.43.3","1","false","true","false","false","false","false","384","0","0","0","6.6580643861678475","38.05497683113112","1.1135936975479126","0.0042","25.2291","18.986","2.378","6.6580643861678475","38.05497683113112","1.1135936975479126","0.0042","25.2291","18.986","2.378","1","10.162652500898949","40.072005401453445","1.150225281715393","0.0042","50.5149","21.063","2.633","10.162652500898949","40.072005401453445","1.150225281715393","0.0042","50.5149","21.063","2.633","4","0","0.49862648515651625"
"rare-night-348","finished","-","","","2025-02-08T02:04:27.000Z","1115","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","true","false","false","true","false","false","false","true","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb07_19-21-38_bgpu-curc4.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.43.3","1","false","true","false","false","false","false","384","0","0","0","8.641916810723709","39.38918952442703","1.0546631813049316","0.0039","32.353","14.805","1.855","8.641916810723709","39.38918952442703","1.0546631813049316","0.0039","32.353","14.805","1.855","1","10.150550016648568","41.31477838852761","1.0665990114212036","0.0039","51.4048","20.698","2.587","10.150550016648568","41.31477838852761","1.0665990114212036","0.0039","51.4048","20.698","2.587","6","0","0.5207348239297668"
"summer-dust-418","finished","-","","","2025-02-08T11:54:50.000Z","1021","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","true","false","true","false","true","false","false","true","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb08_05-10-28_bgpu-curc4.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.43.3","1","false","true","false","false","false","false","384","0","0","0","10.601732285312703","42.48556979966437","0.9570997953414916","0.0038","28.0799","17.058","2.137","10.601732285312703","42.48556979966437","0.9570997953414916","0.0038","28.0799","17.058","2.137","1","10.132709579008276","40.66232183697602","0.9851784110069276","0.0038","54.0839","19.673","2.459","10.132709579008276","40.66232183697602","0.9851784110069276","0.0038","54.0839","19.673","2.459","7","0","0.8632988846092894"
"polished-plant-799","finished","-","","","2025-02-10T04:20:39.000Z","1085","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","true","true","true","true","false","true","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb09_21-36-53_bgpu-curc4.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.43.3","1","false","true","false","false","false","false","384","0","0","0","7.448478113970952","41.190725388689486","0.9505208730697632","0.0043","53.5045","8.953","1.121","7.448478113970952","41.190725388689486","0.9505208730697632","0.0043","53.5045","8.953","1.121","1","10.105435368743011","41.08924039169188","0.9727076292037964","0.0043","57.2737","18.577","2.322","10.105435368743011","41.08924039169188","0.9727076292037964","0.0043","57.2737","18.577","2.322","7","0","0.8658699602411505"
"soft-dream-634","finished","-","","","2025-02-09T15:00:37.000Z","898","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","true","false","true","true","false","false","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb09_08-13-46_bgpu-curc1.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","1","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","5000","4.43.3","1","false","true","false","false","false","false","384","0","0","0","7.510346608949974","39.90857851568912","1.0100032091140747","0.004","50.2176","9.538","1.195","7.510346608949974","39.90857851568912","1.0100032091140747","0.004","50.2176","9.538","1.195","1","10.09914151752888","41.3403718157658","0.9900868535041808","0.004","58.0399","18.332","2.292","10.09914151752888","41.3403718157658","0.9900868535041808","0.004","58.0399","18.332","2.292","7","0","0.8462722531536169"
"classic-glitter-529","finished","-","","","2025-02-09T01:37:06.000Z","1180","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","false","true","false","true","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb08_18-55-19_bgpu-curc4.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.43.3","1","false","true","false","false","false","false","384","0","0","0","7.764036530144457","39.26871034446381","1.0553747415542605","0.0037","28.571","16.765","2.1","7.764036530144457","39.26871034446381","1.0553747415542605","0.0037","28.571","16.765","2.1","1","10.044086351099184","40.9695363102005","1.0811760425567627","0.0037","58.3149","18.246","2.281","10.044086351099184","40.9695363102005","1.0811760425567627","0.0037","58.3149","18.246","2.281","4","0","0.48052864314781296"
"driven-night-30","finished","-","","","2025-02-06T05:07:29.000Z","857","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","true","false","false","false","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb05_22-20-23_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","2","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.43.3","1","false","true","false","false","false","false","384","0","0","0","7.623996468334689","39.12033517140598","1.1731466054916382","0.0041","27.0695","17.695","2.217","7.623996468334689","39.12033517140598","1.1731466054916382","0.0041","27.0695","17.695","2.217","1","9.897000262723797","40.60179530708234","1.1840081214904783","0.0041","55.4661","19.183","2.398","9.897000262723797","40.60179530708234","1.1840081214904783","0.0041","55.4661","19.183","2.398","4","0","0.4906216453139981"
"northern-voice-1094","finished","-","","","2025-02-10T23:16:44.000Z","1151","","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","true","false","false","true","true","true","false","true","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","transl->transc","false","0","false","false","false","false","0.1","false","0","1","250","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb10_16-34-40_bgpu-ivc2.rc.int.colorado.edu","false","true","500","steps","0.0002","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","0","last","128","32","false","true","1","[""wandb""]","true","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","curriculum","full","4.43.3","1","false","true","false","false","false","false","384","0","0","0","12.02664604196521","42.80793274393142","1.0379475355148315","0.0038","29.4699","16.254","2.036","12.02664604196521","42.80793274393142","1.0379475355148315","0.0038","29.4699","16.254","2.036","1","9.88312772042069","42.47133648669739","1.072999119758606","0.0038","45.6806","23.292","2.912","9.88312772042069","42.47133648669739","1.072999119758606","0.0038","45.6806","23.292","2.912","4","0","0.4848500567798813"
