"Name","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","aug_run_delete_w_exclusions","aug_run_insert_interjection","aug_run_random_delete","aug_run_random_duplicate","aug_run_random_insert_conj","aug_run_random_insert_noise","aug_run_sentence_permutations","aug_run_tam_update","direction","epochs","lr","random-seed","reset_optimizer_between_stages","training_schedule","training_size","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","auto_find_batch_size","batch_eval_metrics","bf16","bf16_full_eval","chunk_size_feed_forward","classifier_dropout","d_ff","d_kv","d_model","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","decoder_start_token_id","dense_act_fn","disable_tqdm","diversity_penalty","do_eval","do_predict","do_sample","do_train","dropout_rate","early_stopping","encoder_no_repeat_ngram_size","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","feed_forward_proj","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","generation_max_length","gradient_accumulation_steps","gradient_checkpointing","group_by_length","half_precision_backend","hub_always_push","hub_private_repo","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","initializer_factor","is_decoder","is_encoder_decoder","is_gated_act","jit_mode_eval","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_norm_epsilon","learning_rate","length_column_name","length_penalty","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_length","max_steps","min_length","model/num_parameters","model_type","mp_parameters","no_cuda","no_repeat_ngram_size","num_beam_groups","num_beams","num_decoder_layers","num_heads","num_layers","num_return_sequences","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","output_scores","overwrite_output_dir","pad_token_id","past_index","per_device_eval_batch_size","per_device_train_batch_size","predict_with_generate","prediction_loss_only","push_to_hub","push_to_hub_token","ray_scope","relative_attention_max_distance","relative_attention_num_buckets","remove_invalid_values","remove_unused_columns","repetition_penalty","report_to","restore_callback_states_from_checkpoint","return_dict","return_dict_in_generate","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","seed","skip_memory_metrics","sortish_sampler","temperature","tf_legacy_loss","tie_encoder_decoder","tie_word_embeddings","tokenizer_class","top_k","top_p","torch_compile","torchscript","tpu_metrics_debug","transformers_version","typical_p","use_bfloat16","use_cache","use_cpu","use_ipex","use_legacy_prediction_loop","use_mps_device","vocab_size","warmup_ratio","warmup_steps","weight_decay","eval/loss","stage","train/epoch","train/loss","eval/BLEU","eval/chrF","eval/model_preparation_time","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval_BLEU","eval_chrF","eval_loss","eval_model_preparation_time","eval_runtime","eval_samples_per_second","eval_steps_per_second","test/BLEU","test/chrF","test/loss","test/model_preparation_time","test/runtime","test/samples_per_second","test/steps_per_second","test_BLEU","test_chrF","test_loss","test_model_preparation_time","test_runtime","test_samples_per_second","test_steps_per_second","train/global_step"
"gorgeous-tulip-397","bgpu-curc1.rc.int.colorado.edu","finished","-","","","2025-02-14T08:43:01.000Z","4412","","false","true","false","false","false","true","false","false","transl->transc","250","0.0002","1","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb14_02-40-36_bgpu-curc1.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5722675323486328","1","3","0.495520365575136","5.445679724113614","47.718863797502586","0.0039","320.3854","6.873","0.861","5.445679724113614","47.718863797502586","0.5722675323486328","0.0039","320.3854","6.873","0.861","6.257402320349981","48.07269887611678","0.5757015347480774","0.0039","636.3671","7.687","0.962","6.257402320349981","48.07269887611678","0.5757015347480774","0.0039","636.3671","7.687","0.962","0"
"deeply-sweetheart-395","bgpu-curc1.rc.int.colorado.edu","finished","-","","","2025-02-14T07:25:13.000Z","4658","","false","true","false","false","false","true","false","false","transl->transc","250","0.0002","0","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb14_01-23-31_bgpu-curc1.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5739706158638","1","3","0.5022238781693851","4.91960646133658","46.4618065879749","0.0037","368.4769","5.976","0.749","4.91960646133658","46.4618065879749","0.5739706158638","0.0037","368.4769","5.976","0.749","4.069821099907814","46.66179000681229","0.5770389437675476","0.0037","790.2323","6.191","0.774","4.069821099907814","46.66179000681229","0.5770389437675476","0.0037","790.2323","6.191","0.774","0"
"tempting-tulip-394","bgpu-curc3.rc.int.colorado.edu","finished","-","","","2025-02-14T06:02:13.000Z","4400","","false","true","false","false","false","true","true","false","transl->transc","250","0.0002","1","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_23-56-11_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5824955701828003","1","3","0.5513619551068394","4.880494725365972","46.488642769912985","0.0038","357.3917","6.161","0.772","4.880494725365972","46.488642769912985","0.5824955701828003","0.0038","357.3917","6.161","0.772","4.3422230321273165","45.78593927390685","0.5811060070991516","0.0038","803.5025","6.088","0.762","4.3422230321273165","45.78593927390685","0.5811060070991516","0.0038","803.5025","6.088","0.762","0"
"kind-crush-393","bgpu-curc1.rc.int.colorado.edu","finished","-","","","2025-02-14T05:58:40.000Z","4631","","false","true","false","false","false","true","true","false","transl->transc","250","0.0002","0","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_23-53-16_bgpu-curc1.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5842944383621216","1","3","0.5536922136245416","3.815032367527016","44.36326507139039","0.0041","406.8752","5.412","0.678","3.815032367527016","44.36326507139039","0.5842944383621216","0.0041","406.8752","5.412","0.678","3.126207909088506","43.9607979097674","0.5833752155303955","0.0041","940.302","5.203","0.651","3.126207909088506","43.9607979097674","0.5833752155303955","0.0041","940.302","5.203","0.651","0"
"dashing-caress-392","bgpu-curc3.rc.int.colorado.edu","finished","-","","","2025-02-14T04:48:01.000Z","4193","","false","true","false","false","false","false","true","false","transl->transc","250","0.0002","1","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_22-38-49_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5910711884498596","1","3","0.5578998102430712","4.07758399049215","45.09325710622931","0.0037","374.9976","5.872","0.736","4.07758399049215","45.09325710622931","0.5910711884498596","0.0037","374.9976","5.872","0.736","4.4120924075295065","45.381931512469464","0.586443305015564","0.0037","768.9436","6.362","0.796","4.4120924075295065","45.381931512469464","0.586443305015564","0.0037","768.9436","6.362","0.796","0"
"gentle-balloon-391","bgpu-curc1.rc.int.colorado.edu","finished","-","","","2025-02-14T04:40:37.000Z","4401","","false","true","false","false","false","false","true","false","transl->transc","250","0.0002","0","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_22-32-07_bgpu-curc1.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5904527902603149","1","3","0.563413225128869","4.491079764530937","44.67714656847413","0.0038","383.529","5.741","0.72","4.491079764530937","44.67714656847413","0.5904527902603149","0.0038","383.529","5.741","0.72","3.076501793216418","43.69673459591921","0.58643639087677","0.0038","927.3108","5.275","0.66","3.076501793216418","43.69673459591921","0.58643639087677","0.0038","927.3108","5.275","0.66","0"
"attractive-admirer-390","bgpu-curc3.rc.int.colorado.edu","finished","-","","","2025-02-14T03:15:54.000Z","4353","","false","false","false","false","false","true","true","false","transl->transc","250","0.0002","1","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_21-07-07_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5861499309539795","1","3","0.5437393936148861","3.4817336497148563","44.902945398293866","0.0037","439.5696","5.009","0.628","3.4817336497148563","44.902945398293866","0.5861499309539795","0.0037","439.5696","5.009","0.628","4.02791359836063","45.20748972563722","0.5831151604652405","0.0037","839.7956","5.825","0.729","4.02791359836063","45.20748972563722","0.5831151604652405","0.0037","839.7956","5.825","0.729","0"
"compassionate-valentine-389","bgpu-curc3.rc.int.colorado.edu","finished","-","","","2025-02-14T03:13:36.000Z","4246","","false","false","false","false","false","true","true","false","transl->transc","250","0.0002","0","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_21-04-20_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5860787630081177","1","3","0.555775208199001","4.97269478109477","45.8124852028704","0.0037","341.3516","6.451","0.809","4.97269478109477","45.8124852028704","0.5860787630081177","0.0037","341.3516","6.451","0.809","3.94890992749624","44.54801779389269","0.5852112770080566","0.0037","860.0479","5.688","0.712","3.94890992749624","44.54801779389269","0.5852112770080566","0.0037","860.0479","5.688","0.712","0"
"beaming-flower-386","bgpu-ivc2.rc.int.colorado.edu","finished","-","","","2025-02-14T01:53:43.000Z","3949","","false","false","false","false","false","false","true","false","transl->transc","250","0.0002","1","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_19-42-24_bgpu-ivc2.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5921022295951843","1","3","0.5543112407418487","4.083633771470926","46.03067676323998","0.0034","332.8299","6.616","0.829","4.083633771470926","46.03067676323998","0.5921022295951843","0.0034","332.8299","6.616","0.829","4.191539794437707","45.957836451964035","0.591733455657959","0.0034","694.4","7.045","0.881","4.191539794437707","45.957836451964035","0.591733455657959","0.0034","694.4","7.045","0.881","0"
"charismatic-violet-385","bgpu-curc3.rc.int.colorado.edu","finished","-","","","2025-02-14T00:55:23.000Z","4120","","false","false","false","false","false","false","true","false","transl->transc","250","0.0002","0","true","curriculum","full","google/byt5-small","true","false","false","true","false","0.9","0.999","1e-8","false","[""T5ForConditionalGeneration""]","false","false","false","false","0","0","3584","64","1472","false","0","false","true","1800","[]","0","gelu_new","false","0","false","false","false","false","0.1","false","0","1","0","true","false","no","false","gated-gelu","false","auto","false","O1","[]","0","false","false","false","0","false","1024","1","false","false","auto","false","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","false","false","1","false","true","true","false","0","1","0","0.000001","0.00005","length","1","false","0","passive","warning","true","../runs/Feb13_18-43-46_bgpu-curc3.rc.int.colorado.edu","false","true","500","steps","linear","1","20","-1","0","299637760","t5","","false","0","1","1","4","6","12","1","3","adamw_torch","false","..","false","false","false","0","-1","8","8","true","false","false","<PUSH_TO_HUB_TOKEN>","last","128","32","false","true","1","[""wandb""]","false","true","false","..","false","false","true","500","steps","42","true","false","1","false","false","false","ByT5Tokenizer","50","1","false","false","false","4.43.3","1","false","true","false","false","false","false","384","0","0","0","0.5994411706924438","1","3","0.5588457611685376","5.110803660026045","44.699809684695595","0.0041","411.2485","5.354","0.671","5.110803660026045","44.699809684695595","0.5994411706924438","0.0041","411.2485","5.354","0.671","3.703311590770326","44.50220988689347","0.6006757616996765","0.0041","804.6569","6.08","0.761","3.703311590770326","44.50220988689347","0.6006757616996765","0.0041","804.6569","6.08","0.761","0"
